"","V1","V2","V3","V4"
"329",251.902593397249,251.903131317249,251.903669237249,251.904207157249
"330",251.902611186325,251.903152391325,251.903693596325,251.904234801325
"331",251.902628995772,251.903173495772,251.903717995772,251.904262495772
"332",251.902646825443,251.903194630443,251.903742435443,251.904290240443
"333",251.902664675187,251.903215795187,251.903766915187,251.904318035187
"334",251.902682544857,251.903236989857,251.903791434857,251.904345879857
"335",251.902700434303,251.903258214303,251.903815994303,251.904373774303
"336",251.902718343379,251.903279468379,251.903840593379,251.904401718379
"337",251.902736271937,251.903300751937,251.903865231937,251.904429711937
"338",251.90275421983,251.90332206483,251.90388990983,251.90445775483
"339",251.902772186911,251.903343406911,251.903914626911,251.904485846911
"340",251.902790173034,251.903364778034,251.903939383034,251.904513988034
"341",251.902808178053,251.903386178053,251.903964178053,251.904542178053
"342",251.902826201823,251.903407606823,251.903989011823,251.904570416823
"343",251.902844244197,251.903429064197,251.904013884197,251.904598704197
"344",251.902862305032,251.903450550032,251.904038795032,251.904627040032
"345",251.902880384183,251.903472064183,251.904063744183,251.904655424183
"346",251.902898481506,251.903493606506,251.904088731506,251.904683856506
"347",251.902916596857,251.903515176857,251.904113756857,251.904712336857
"348",251.902934730092,251.903536775092,251.904138820092,251.904740865092
"349",251.902952881069,251.903558401069,251.904163921069,251.904769441069
"350",251.902971049645,251.903580054645,251.904189059645,251.904798064645
"351",251.902989235678,251.903601735678,251.904214235678,251.904826735678
"352",251.903007439026,251.903623444026,251.904239449026,251.904855454026
"353",251.903025659547,251.903645179547,251.904264699547,251.904884219547
"354",251.9030438971,251.9036669421,251.9042899871,251.9049130321
"355",251.903062151544,251.903688731544,251.904315311544,251.904941891544
"356",251.903080422738,251.903710547738,251.904340672738,251.904970797738
"357",251.903098710544,251.903732390543,251.904366070543,251.904999750544
"358",251.903117014819,251.903754259819,251.904391504819,251.905028749819
"359",251.903135335426,251.903776155426,251.904416975426,251.905057795426
"360",251.903153672225,251.903798077225,251.904442482225,251.905086887225
"361",251.903172025077,251.903820025077,251.904468025077,251.905116025077
"362",251.903190393844,251.903841998844,251.904493603844,251.905145208844
"363",251.903208778388,251.903863998388,251.904519218388,251.905174438388
"364",251.903227178571,251.903886023571,251.904544868571,251.905203713571
"365",251.903245594255,251.903908074255,251.904570554255,251.905233034255
"366",251.903264025304,251.903930150304,251.904596275304,251.905262400304
"367",251.903282471581,251.903952251581,251.904622031581,251.905291811581
"368",251.90330093295,251.90397437795,251.90464782295,251.90532126795
"369",251.903319409274,251.903996529274,251.904673649274,251.905350769274
"370",251.903337900418,251.904018705418,251.904699510418,251.905380315418
"371",251.903356406247,251.904040906247,251.904725406247,251.905409906247
"372",251.903374926625,251.904063131625,251.904751336625,251.905439541625
"373",251.903393461418,251.904085381418,251.904777301418,251.905469221418
"374",251.903412010492,251.904107655492,251.904803300492,251.905498945492
"375",251.903430573712,251.904129953712,251.904829333712,251.905528713712
"376",251.903449150945,251.904152275945,251.904855400945,251.905558525945
